Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
MLO-D31GDN,MLO1 Mahalakshmi Layout,KTSSL Kanteerava Studio,2,2,100.0,1,1,100.0
297-MDN,DBPRS Railway Station Doddaballapura,DBP Doddaballapura Old Bus Stand,2,12,16.666668,1,1,100.0
V-129DN,SBS0 Shivajinagara Bus Station,KBS123 Kempegowda Bus Station,3,3,100.0,55,55,100.0
BKS-BMSUP,BKSBBS Bukkasagara ,OTCLE OTC Circle,2,2,100.0,1,1,100.0
YPR-KRNUP,GMGC2 Gangamma Circle (Towards MS Palya),MSPY2 MS Palya,2,2,100.0,2,2,100.0
ELCW-KRM TTMCDN,KGATE Kudlu Gate,BMH4 Bommanahalli (Towards St Johns),2,5,40.0,1,1,100.0
NSP-SGHUP,JEE1 East End Jayanagara (Towards JD Mara),SGH3 Sanjay Gandhi Hospital,2,2,100.0,1,1,100.0
KNN-YTTMCDN,MLO3 Mahalakshmi Layout,YTTMC Yashawanthapura TTMC,2,2,100.0,3,3,100.0
D34 Gate-SKLUP,D34GT Depot-34 Gate,HMG Hulimavu Gate (Towards Jayadeva Hospital),2,2,100.0,1,1,100.0
BELF-VRPUP,NJPAC Nanjappa Circle,VRP Vidyaranyapura Bus Station,2,2,100.0,1,1,100.0
401-PUP,MTKR Mattikere,CBSJP Chowdeshwari Bus Stand JP Park,2,2,100.0,1,1,100.0
356-CW INFPLDN,BMH4 Bommanahalli (Towards St Johns),HSRA2 SI Apartment HSR Layout,3,6,50.0,238,240,99.166664
HPPCR-SBSUP,HPPCR CS-HP Petrol Bunk Coles Road,SBS1 Shivajinagara Bus Station,2,2,100.0,4,4,100.0
KPA-DPJDN,KMPAGARAR Kempapura Agarahara,SRCL Sirsi Circle,2,2,100.0,8,8,100.0
57-BUP,GSR Binny MIll,KBS123 Kempegowda Bus Station,2,2,100.0,3,3,100.0
500-KBUP,CBSJP1 Chowdeshwari Bus Stand JP Park,MTKR1 Mattikere,2,2,100.0,2,2,100.0
242-XDN,CDC Chandrappa Circle,BYLL1 Byalalu,2,17,11.764706,2,2,100.0
NTR-SMH 238DN,P[DP Papareddypalya,SMH5 Summanahalli,2,2,100.0,1,1,100.0
342-DUP,KCHMVG Kachamaranahalli,VNYPS Varthuru Police Station,18,18,100.0,1,1,100.0
YLK-AHLUP,YHK1 Yelahanka Old Town,AGHRV Agrahara Layout,3,3,100.0,5,6,83.33333
AJB-PTHDN,JLIMC Ittige Factory,KGLV Kogilu,2,2,100.0,1,1,100.0
PSS-ISROQUP,NTTF NTTF Peenya,SRS1 SRS Peenya,2,2,100.0,1,1,100.0
369-QDN,JBS4thB Jayanagara 4th Block,BSKTTMC0 Banashankari TTMC,2,2,100.0,3,3,100.0
D21-KHBQUP,IAHF1 Indo American Hybrid Farm,KGR2 Kengeri TTMC,2,2,100.0,1,1,100.0
GKW-VJNDN,GKW0 GKW Layout,VJN2 Vijayanagara,2,2,100.0,1,1,100.0
JGF-KHCDN,VJNGRAA Vijayanagara,KHB KHB Colony,7,7,100.0,1,1,100.0
380QUP,DDPYCS3 Dandupalya Cross,ORHL Harohalli (Towards Umalu),4,22,18.181818,4,5,80.0
V-129UP,KBS1 Kempegowda Bus Station,SBS1 Shivajinagara Bus Station,3,3,100.0,35,39,89.74359
PTH-KIASUP,YHKSC1 Yelahanka Santhe Circle,SDHG1 Sadahalli Gate,4,4,100.0,1,1,100.0
HKR-HKRGATEDN,HUSK Huskur (Towards Chikkanagamangala Gate),HSKGT Huskur Gate,3,3,100.0,17,22,77.27273
KBS-CHMUP,KBS1 Kempegowda Bus Station,CNTRL Central,2,2,100.0,3,3,100.0
KBS-HAL LCAUP,MAO Military Accounts Office,HALMG HAL Main Gate (Towards Marathahalli Bridge),2,2,100.0,1,1,100.0
287-RUP,BDPLYT1 Bhadrappa Layout (Towards TATA Nagara),TATANR Tata Nagara,2,10,20.0,1,1,100.0
362-JUP,KPGT6 Koppa Gate,JGN0 Jigani Bus Stand,3,23,13.043478,1,1,100.0
401-PDN,MTKR1 Mattikere,YTTMC Yashawanthapura TTMC,2,2,100.0,1,1,100.0
MGMS-KLNBDN,SBS0 Shivajinagara Bus Station,KARCH1 Kacharakanahalli,2,2,100.0,3,3,100.0
BEL-KLNDN,BELCR2 BEL Circle (Towards Hebbala),jnon Jn of Nagawara,3,4,75.0,1,1,100.0
CJP-ELCWUP,ELC356cw Electronic City (Towards Wipro Gate),ELCWG ELC Wipro Gate,2,21,9.523809,1,1,100.0
KMT-BMTC COUP,CRP12 Corporation (Towards Subbiah Circle),SNTTMC3 Shanthinagara TTMC,2,2,100.0,1,1,100.0
242VDN,PRDPL Puradapalya,MGDTLG Magadi Road TollGate ,5,6,83.33333,1,1,100.0
356CW-FlyUP,SIA1 SI Apartment HSR Layout,ELCWG ELC Wipro Gate,6,7,85.71429,5948,6190,96.09047
CSB-KNLUP,D-25 Depot-25 Gate (Towards Hebbala),AGRA1 Jn of Agara,2,2,100.0,1,1,100.0
RJK-SBSDN,TLBS Thanisandra,NGW1 Nagavara,2,6,33.333336,13,17,76.47059
CAPG-MRHUP,DDNKD Dodda Nekkundi (Towards Marathahalli Bridge),BTHB Marathahalli Bridge Flyover,2,3,66.66667,9,9,100.0
356-CW INFPLUP,SIA1 SI Apartment HSR Layout,ELCWG ELC Wipro Gate,3,3,100.0,420,434,96.77419
MCTC-GNE-SBSDN,NRR North Road,SBS1 Shivajinagara Bus Station,2,3,66.66667,3,4,75.0
DPJN-KBS-222AUP,BPN Bapujinagara,KBS123 Kempegowda Bus Station,4,4,100.0,13,17,76.47059
KGR-HKLOUP,mnsk1 Muneshwara Nagara Kerekodi,KRSHL H Krishnappa Layout,2,5,40.0,1,1,100.0
SBS-NGWR-PTHUP,JKR Jakkur,NES NES Office,4,4,100.0,4,4,100.0
KMT-TVK 227JUP,PTYNP Puttaiahnapalya,TVRKR1 Tavarekere,2,12,16.666668,5,5,100.0
500-EUP,ELC3 Electronic City (Towards Attibele),ELCWG ELC Wipro Gate,2,2,100.0,2,2,100.0
HSK-CPR 399AUP,AVLHIHSK Avalahalli Electronic City,HUSK Huskur (Towards Chikkanagamangala Gate),2,15,13.333334,1,1,100.0
V-333TUP,VYDHS White Field TTMC (Vydehi Hospital),ITL ITPL,3,20,15.000001,2,2,100.0
BSK-KLOUP,BSKTTMC1 Banashankari TTMC,KML0 Kumaraswamy Layout,2,2,100.0,4,4,100.0
GNH-D35UP,GNGNHL1 Gangenahalli (Towards Tavarakere),TVK Tavarekere,2,3,66.66667,11,12,91.66667
YPR-BELUP,YTTMC Yashawanthapura TTMC,MTKR Mattikere,2,2,100.0,2,2,100.0
YTTMC-GNRUP,YTTMC1 Yashawanthapura TTMC,MKC Mekhri Circle,2,2,100.0,7,7,100.0
8thM-GNG-HBLDN,JHC2 Jalahalli Cross,BELCR2 BEL Circle (Towards Hebbala),2,4,50.0,4,5,80.0
310-CDN,HLS Halasuru,SBS1 Shivajinagara Bus Station,3,5,60.000004,5,5,100.0
323-DNUP,DND Vappachalli Gate,DND9 Daadinayakana Doddy,2,19,10.526316,2,2,100.0
RMVE-MKC-KBSDN,RMGTH1 RM Guttahalli,KBS123 Kempegowda Bus Station,3,4,75.0,21,27,77.77778
356CW-FlyDN,RPNAGR Rupena Agrahara,HSRA2 SI Apartment HSR Layout,2,6,33.333336,17,19,89.47369
ATB-HSR BCUP,ROPAG Rupena Agrahara,HSRA2 SI Apartment HSR Layout,2,5,40.0,1,1,100.0
D34 Gate-CKHUP,D34GT Depot-34 Gate,NBNGR Nobo Nagara,2,2,100.0,2,2,100.0
PSS-KRSLUP,PSS Peenya 2nd Stage,NTTF NTTF Peenya,2,2,100.0,3,3,100.0
JKRA-PTHDN,JKRATL Jakkur Layout Ayyappa Temple,NES NES Office,2,2,100.0,1,1,100.0
SBS-SGHDN,RMDC Richmond Circle,JBS4th Jayanagara 4th Block,3,4,75.0,1,1,100.0
SKL-D34 GateDN,HMGT Hulimavu Gate (Towards Meenakshi Temple),D34GTE Depot-34 Gate,2,2,100.0,3,3,100.0
CLOC-BSKUP,KTGP Kathriguppe,BSKTTMC1 Banashankari TTMC,3,4,75.0,1,1,100.0
VPS-BRTN2UP,BTS Bharath Nagara 1st Phase,BRT2 Bharath Nagara 2nd Stage,2,2,100.0,1,1,100.0
jPT-D35UP,JPT0 Janapriya Township,KDGC2 Kadabagere Cross,2,3,66.66667,33,35,94.28571
SBN-VNSUP,SNTTMC3 Shanthinagara TTMC,CVRBN Cauvery Bhavana,2,2,100.0,1,1,100.0
57-BDN,KBS1 Kempegowda Bus Station,SCRLE Sirsi Circle,3,3,100.0,7,8,87.5
D34 Gate-HulimavuUP,D34GT Depot-34 Gate,HULIMVU Hulimavu,2,2,100.0,4,4,100.0
GDH-D35DN,GDHL0 Giddenahalli (Towards Kadabagere Cross),D35G Depot-35 Gate,2,2,100.0,2,2,100.0
JGH-D-35UP,JGH Karekal Cross,TVK Tavarekere,2,3,66.66667,18,18,100.0
310-CUP,HLS1 Halasuru,ISH Isolation Hospital,2,3,66.66667,1,1,100.0
MNKH-PSSDN,MRSNF Marison Factory,JHC4 Jalahalli Cross,2,3,66.66667,18,19,94.73685
VDHTC-D35DN,JPT0 Janapriya Township,KDGC2 Kadabagere Cross,2,2,100.0,4,4,100.0
317-KDN,RCHMDCR Richmond Circle,KRM4 KR Market,2,13,15.384616,1,1,100.0
HBL-GNG-8thMUP,KGHB Kammagondanahalli Bridge,JLCR1 Jalahalli Cross,2,2,100.0,1,1,100.0
SNBS-HKHUP,LBGHG Lalbagh Main Gate,BANKC Bank Colony,2,2,100.0,1,1,100.0
JSD-SGHDN,PTH2 Puttenahalli,JNGR5 5th Block Jayanagara (Towards Jayanagara),3,3,100.0,2,2,100.0
CJP-SVGUP,MTKR1 Mattikere,YTTMC Yashawanthapura TTMC,2,3,66.66667,5,6,83.33333
NGV-SRNUP,RAMSR Ramasagara,CPR1 Chandapura (Towards Anekal),2,2,100.0,1,1,100.0
226 SBSDN,BPN Bapujinagara,KBS1 Kempegowda Bus Station,4,4,100.0,32,44,72.72727
RTN-KBRUP,RTNPS3 Police Station RT Nagara ,KBR Kaval Byrasandra,2,2,100.0,25,25,100.0
PSS-TPHUP,NTTF NTTF Peenya,JLCR1 Jalahalli Cross,2,3,66.66667,9,11,81.818184
GSHQR-SBSUP,GSHQR CS-Gold Star Hotel,SBS1 Shivajinagara Bus Station,2,2,100.0,3,3,100.0
KIAS-5UP,SDHG1 Sadahalli Gate,KIAS Kempegowda International Airport,3,13,23.076923,4,4,100.0
NMG-YLGUP,JOTR Jn of Tumkur Road,KLH2 Kempalinganahalli,2,2,100.0,1,1,100.0
DVHOB-NLRUP,RDH Reddyhalli,NLU Nallur,2,5,40.0,1,1,100.0
CLO-VPSUP,CLO1 Chandra Layout Cirlce,VPS Vidyaniketan Public School,2,2,100.0,1,1,100.0
DRP-MBSUP,NLO1 Nandini Layout Bus Stand,RJN1B 1st Block Rajajinagara,2,2,100.0,1,1,100.0
KPA-VTTMC 55BUP,KMPAGARAR Kempapura Agarahara,SRCL Sirsi Circle,2,3,66.66667,21,22,95.454544
HML-D-34 GATEUP,HULIMVU Hulimavu,D34GTE Depot-34 Gate,2,2,100.0,2,2,100.0
BSK-VSPUP,KDRNHL Kadirenahalli Village,UTH Uttarahalli,2,4,50.0,46,65,70.76923
SGH-BSKUP,JBS4thB Jayanagara 4th Block,BSKTTMC0 Banashankari TTMC,2,3,66.66667,573,600,95.5
CVR-HALUP,DRDOQTRS DRDO Quarters,BAGMNTECK Bagmane Tech Park,2,2,100.0,2,2,100.0
SBS-SNBS-BMDUP,SBS0 Shivajinagara Bus Station,SNTTMC Shanthinagara TTMC,2,2,100.0,4,4,100.0
GVP-D40CDN,NRSP1 Narasipura,MKLC1 Makali Cross,2,2,100.0,1,1,100.0
TPS-PPLODN,VSTPR Vasanthapura,UTH1 Uttarahalli,2,2,100.0,18,18,100.0
PTH-YSTUP,YST5thPH 5th Phase Yalahanka New Town ,YST Yelahanka Satellite Town,2,2,100.0,3,3,100.0
D38-CDH-342wUP,DMS1 Dommasandra,SJRSTP Sarjapura,2,3,66.66667,4,5,80.0
D25-ULPSUP,JOKSW Sony World 80ft Road  Koramangala,STPC St Patrick Church,3,3,100.0,1,1,100.0
CPR-JPN6DN,ROPAG Rupena Agrahara,718 JP Nagara 3rd Phase,2,2,100.0,1,1,100.0
HLH-D-35UP,HLVNHLG Huluvenahalli Gate,TVK Tavarekere,2,4,50.0,5,7,71.42857
86UP,SJT1 Sujatha Talkies,MGDTG Magadi Road TollGate ,2,3,66.66667,8,11,72.72727
VSD-KMTUP,MHC Maharanis College,KMT1 KR Market (Kalasipalya),2,2,100.0,3,3,100.0
KLO-BSKDN,KML3 Kumaraswamy Layout,BSK Banashankari Bus Station (Towards Kadirenahalli),2,3,66.66667,3,4,75.0
CHM-KBSDN,MLESHW 8th Cross Malleshwaram (Margosa Road),KBS123 Kempegowda Bus Station,2,2,100.0,10,10,100.0
356-CWUP,SIA1 SI Apartment HSR Layout,ELC2 Electronic City 378 ,2,2,100.0,1,1,100.0
D31G-BCCLOUP,KHB1 KHB Colony,VJN1 Vijayanagara,2,2,100.0,1,1,100.0
KNP-KLNDN,KNPR1 K Narayanapura Main Bus Stand,HNRCRS Hennur Cross (Towards Lingarajapura),2,2,100.0,1,1,100.0
SNBS-KNBCUP,JBS4thB Jayanagara 4th Block,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),2,2,100.0,1,1,100.0
V-226SBSDN,WNDRLAPRK Wonderla Amusement Park,KBS1 Kempegowda Bus Station,3,3,100.0,42,50,84.0
BNP-SSPUP,GTR1 Gottigere (Towards Kalena Agrahara),HMG Hulimavu Gate (Towards Jayadeva Hospital),2,2,100.0,1,1,100.0
60UP,SJTR Sujatha Talkies,KBS123 Kempegowda Bus Station,2,3,66.66667,1,1,100.0
D-34-ANP10BUP,JSD3 Jambu Savari Dinne,GLF2 Glass Factory (Towards Anjanapura),3,3,100.0,2,2,100.0
D35-BVRHUP,D35G Depot-35 Gate,TVK1 Tavarekere,5,5,100.0,1,1,100.0
CKB-VSD-KMT 271FDN,TELEE Telephone Exchange AGO ,KRM4 KR Market,3,12,25.0,1,1,100.0
D10-BGLR-DVHUP,CSNG Chikka Sanne Gate,DVHOBS2 Devanahalli Old Bus Stand,2,14,14.285715,4,4,100.0
TYPD-BDDDN,BMNGC Byramangala Cross (Towards Bidadi),BDD Bidadi,2,4,50.0,85,98,86.734695
343-ADN,SNTTMC3 Shanthinagara TTMC,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
CKH-PTNDN,CKHL Chokkanahalli (Towards RK Hegde Nagara),THRHC Thirumenahalli Cross,2,2,100.0,1,1,100.0
313-CDN,BGH Benniganahalli,DEPO6 Depot-06 Gate,3,4,75.0,1,1,100.0
PNN-MDLUP,BNS0 Banashankari Bus Station,RGD Ragigudda Temple,3,3,100.0,1,1,100.0
D35-KDBUP,KDGC2 Kadabagere Cross,KDBR Kadabagere,2,2,100.0,2,2,100.0
248-WDN,SRSC5 Sirsi Circle,KMT1 KR Market (Kalasipalya),2,3,66.66667,8,9,88.88889
38UP,RICHMD Richmond Circle,MYH1 Mayohall,2,2,100.0,1,1,100.0
BNP-ANKUP,KOPG Koppa Gate,JGN0 Jigani Bus Stand,2,3,66.66667,1,1,100.0
30-EUP,CMRP Chamarajapet (Towards KR Market),KRMARK KR Market,2,2,100.0,3,3,100.0
PTH-MRHDN,NES1 NES Office,BRP1 Byatarayanapura (Towards Hebbala),2,4,50.0,3,4,75.0
401-CDN,BNGUSTY Bengaluru University Gate (Towards ADM Block),BUAMB Bengaluru University Administrative Block,2,3,66.66667,1,1,100.0
CHM-SBSUP,CRLST Cantonment Railway Station,SBS1 Shivajinagara Bus Station,2,2,100.0,14,14,100.0
KBS-VNPTHUP,NMG0 Nelamangala Bus Station,JOTR1 Jn of Tumkur Road,2,2,100.0,1,1,100.0
KMT-SNBSUP,CRP12 Corporation (Towards Subbiah Circle),SNTTMC Shanthinagara TTMC,2,2,100.0,4,4,100.0
D06-DRDO2UP,ISH Isolation Hospital,DRDOQ DRDO Quarters,2,2,100.0,3,3,100.0
KIAS-6UP,SDHG1 Sadahalli Gate,KIAS Kempegowda International Airport,2,22,9.090909,1,1,100.0
HSRBC-ELCDN,HSRBDA BDA Complex HSR Layout,BMH2 Bommanahalli (Towards Electronic City),2,3,66.66667,5,5,100.0
RMG-RVC-DTTUP,CHRP Chamarajapet (Towards TR Mill),RVC1 Raghavendra Colony,2,5,40.0,1,1,100.0
80 MLO -KBSDN,SJTR Sujatha Talkies,kcle Kodays Circle,3,4,75.0,3,3,100.0
NRP-SMHDN,SGK Sri GandhadaKavalu,KTP1 Kottigepalya,2,2,100.0,10,10,100.0
RMG-KBSUP,RMG6 RM Guttahalli,KBS123 Kempegowda Bus Station,2,2,100.0,8,8,100.0
ASK-NMGDN,BNMG Binnamangala Towads Nelamangala),NMG0 Nelamangala Bus Station,2,3,66.66667,181,232,78.01724
V-226SBSUP,SRSC Sirsi Circle,WNDRPRK Wonderla Amusement Park,4,4,100.0,1,1,100.0
BMBS-SMHDN,BMS Bande Maramma Bus Station,SMH5 Summanahalli,2,2,100.0,2,2,100.0
DMR-D06UP,BOPBSTP Dhoopanahalli,DEPO6 Depot-06 Gate,2,2,100.0,1,1,100.0
KDGB-JFWTCUP,HOFM Hope Farm (Towards ITPL),ITPL ITPL,2,2,100.0,1,1,100.0
TRP-KBSUP,JNHR Jn of Hosur Road,KBS123 Kempegowda Bus Station,5,14,35.714287,1,1,100.0
NDRS-KBSUP,NDRGR CS-Nandidurga Road,KBS123 Kempegowda Bus Station,3,3,100.0,3,3,100.0
NMG-ASKUP,NMG0 Nelamangala Bus Station,ARSK1 Arishinakunte (Towards Gejjigadahalli),2,2,100.0,2,2,100.0
JHC-SSPCUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,3,66.66667,8,11,72.72727
D31G-BUADMUP,KTP Kottigepalya,PPDRP Papareddypalya,2,3,66.66667,3,4,75.0
V-SURN-KBSUP,MDWL1 Madivala,KBS123 Kempegowda Bus Station,4,6,66.66667,12,17,70.588234
BGR-ELCUP,BGRATB Beguru (Towards Bommanahalli),BMH8 Bommanahalli (Towards Madivala),5,5,100.0,3,4,75.0
MPH-GJRUP,MNHS Madhura Nagara Hostel,VRTBS1 Varthuru,2,3,66.66667,5,6,83.33333
KLNB-SBIBTHLUP,RMNALDM Ramamurthy Nagara Alada Mara,KRPM-1 KR Puram Market,2,2,100.0,27,27,100.0
D38-ISH KUP,HSKU Huskur (Towards Gattahalli),CHNMDL Chinthala Madivala Cross,2,2,100.0,2,2,100.0
AIT-KHDS-SBSUP,MGDTLG Magadi Road TollGate ,kcle Kodays Circle,2,3,66.66667,1,1,100.0
BMT10-AJBUP,JONGWR Jn of Nagavara,THNSN Thanisandra,2,2,100.0,11,11,100.0
HSRBDA-D32DN,BMH2 Bommanahalli (Towards Electronic City),HBGDI Hebbagodi,2,5,40.0,4,5,80.0
313-CUP,ISH Isolation Hospital,KRPRLY Railway Station KR Puram,2,2,100.0,4,4,100.0
77 YTTMC-MLOUP,GVTSF1 Govt Soap Factory,MLO3 Mahalakshmi Layout,2,2,100.0,2,2,100.0
ORRCAP-ELCWUP,KDG Kudlu Gate,KNP3 Konappana Agarhara,2,6,33.333336,1,1,100.0
366-Z ANK-CNPUP,ANEKL Anekal,SDP6 Siddanapalya,3,3,100.0,10,12,83.33333
NLR-DVHOBDN,REH Reddyhalli,DVHOBS2 Devanahalli Old Bus Stand,2,2,100.0,6,6,100.0
SGH-BSK-SNRUP,JBS4thB Jayanagara 4th Block,SMG Sangam Circle,2,2,100.0,25,25,100.0
SDN-YTTMCDN,MLSW18C 18th Cross Malleshwaram (Towards YTTMC),YTTMC1 Yashawanthapura TTMC,2,2,100.0,2,2,100.0
210-KAUP,CKHSAM Chikkallasandra Aralimara (Chikkalasandra),CKBS Chikkallasandra,2,10,20.0,1,1,100.0
SPHS-HBLBUP,MRP Munireddy Palya J C Nagara ,RTNPS2 Police Station RT Nagara ,2,3,66.66667,6,6,100.0
D38-CPRUP,HBGDI Hebbagodi,BMSNDR Bommasandra (Towards Chandapura),2,3,66.66667,6,7,85.71429
374-FUP,UTRCL Uttarahalli Circle,CKBS Chikkallasandra,2,2,100.0,1,1,100.0
230-B SBSUP,BSVN1 Basavanagara Kengeri,ANCPL Anchepalya,2,10,20.0,1,1,100.0
D13-ORRCA Prestige Tech ParkUP,KMKT Kamakya Talkies,BTM16 16th Main BTM Layout ,2,2,100.0,1,1,100.0
210PUP,CKHSAM Chikkallasandra Aralimara (Chikkalasandra),CKBS1 Chikkallasandra,2,10,20.0,4,4,100.0
